序号,违禁类型,具体违禁词/表述,风险等级,法规依据,推荐替换表述
1,极限词,全网第一、市场唯一、最好、最高端、顶级豪宅、鼎冠、绝版户型、空前绝后、独家房源,高,广告法第9条：禁止使用极限用语,高品质住宅 / 稀缺户型 / 优质房源
2,升值/投资回报承诺,升值空间巨大、投资回报率XX%、热销必升值、一年净赚百万、多重钱景保障、买到即赚到,高,广告法第26条第1款：禁止含升值或投资回报承诺,区位发展潜力可期 / 城市核心地段
3,学区/户口/就业承诺,学区房、学位房、带XX学校学位、买房送学位、办理户口、入住即落户,高,房地产广告发布规定第18条：禁止承诺办理户口、就业、升学,周边教育资源丰富（以官方划定为准）
4,具体距离/时间表述,距地铁口5分钟、距XX学校100米、步行3分钟到站、开车20分钟到机场,高,广告法第26条第2款：禁止以所需时间表示项目位置,交通便捷，近地铁 / 周边配套完善
5,政府/规划背书,国家重点扶持项目、国家规划区域、政府重点开发区、最新政策利好、内部消息,高,广告法第9条：禁止使用国家机关名义；禁止编造政策信息,位于城市发展核心区 / 区位优势明显
6,融资/众筹类,内部认购、众筹买房、变相融资、购房后返租保底、合伙买房,高,房地产广告发布规定第16条：禁止出现融资或变相融资内容,正规销售渠道，详情咨询置业顾问
7,虚假价格,史上最低价、跳楼价、价格腰斩、零首付、不限购（实际限购时）,高,广告法第28条：禁止虚假或引人误解的价格宣传,当前性价比较高 / 首付门槛较低（详询）
8,房屋用途混淆,商住两用（非居住用地）、酒店式公寓（商业性质）、公寓（实为办公）,高,房地产广告合规指引：禁止混淆土地使用性质,商业办公性质，适合企业注册/办公使用
9,风水/迷信,风水宝地、旺财旺丁、聚气藏风、龙脉所在、招财格局,中,房地产广告发布规定：不得含有风水占卜等封建迷信内容,自然环境优越 / 坐北朝南 / 采光充足
10,房价涨跌预测,房价必涨、明年价格翻倍、楼市即将爆发、错过就亏了,高,广告法第28条：禁止未经证实的预测性宣传,市场行情可关注，具体以实际成交为准
11,预售装修内容,精装修（预售广告中）、豪华装修效果图（未竣工）、样板间效果即交付标准,高,房地产广告发布规定第14条：预售广告不得涉及装修内容,交付标准以购房合同约定为准
12,无资质发布,无房产经纪资质的个人账号发布大量营销性房源内容,高,小红书平台规则：房产行业需企业号认证+资质证明,完成小红书企业号认证，上传资质后发布
13,KOS挂靠推广,挂靠他人品牌蓝V账号发布房产内容,高,小红书2025年8月已处置23个房产账号，永久冻结广告账户,自主完成企业认证，不得挂靠他人账号
14,评论/私信引流,在笔记评论或私信中留手机号、微信号引流,高,小红书平台规则：禁止站外导流,通过小红书官方沟通渠道与用户互动
,,,,,
数据来源：广告法(2015修订)、房地产广告发布规定、深圳市场监管局合规指引、数英网、Reditor编辑器、句无忧(check51.com) 2025-2026年汇编,,,,,
