序号,分类,子分类,违禁词/用语,风险等级,说明/备注
1,绝对化/极限用语,与极有关,极致,高,直接触发审核，可能限流或删除
2,绝对化/极限用语,与极有关,极品,高,直接触发审核，可能限流或删除
3,绝对化/极限用语,与极有关,极佳,高,直接触发审核，可能限流或删除
4,绝对化/极限用语,与极有关,终极,高,直接触发审核，可能限流或删除
5,绝对化/极限用语,与极有关,致极,高,直接触发审核，可能限流或删除
6,绝对化/极限用语,与极有关,国际级,高,直接触发审核，可能限流或删除
7,绝对化/极限用语,与极有关,世界级,高,直接触发审核，可能限流或删除
8,绝对化/极限用语,与极有关,全球级,高,直接触发审核，可能限流或删除
9,绝对化/极限用语,与极有关,千万级,高,直接触发审核，可能限流或删除
10,绝对化/极限用语,与极有关,特级,高,直接触发审核，可能限流或删除
11,绝对化/极限用语,与极有关,宇宙级,高,直接触发审核，可能限流或删除
12,绝对化/极限用语,与最有关,最佳,高,直接触发审核，可能限流或删除
13,绝对化/极限用语,与最有关,最具,高,直接触发审核，可能限流或删除
14,绝对化/极限用语,与最有关,最优,高,直接触发审核，可能限流或删除
15,绝对化/极限用语,与最有关,最好,高,直接触发审核，可能限流或删除
16,绝对化/极限用语,与最有关,最高级,高,直接触发审核，可能限流或删除
17,绝对化/极限用语,与最有关,最低,高,直接触发审核，可能限流或删除
18,绝对化/极限用语,与最有关,最便宜,高,直接触发审核，可能限流或删除
19,绝对化/极限用语,与最有关,最受欢迎,高,直接触发审核，可能限流或删除
20,绝对化/极限用语,与最有关,最时尚,高,直接触发审核，可能限流或删除
21,绝对化/极限用语,与最有关,最舒适,高,直接触发审核，可能限流或删除
22,绝对化/极限用语,与最有关,最后,高,直接触发审核，可能限流或删除
23,绝对化/极限用语,与最有关,最新,高,直接触发审核，可能限流或删除
24,绝对化/极限用语,与最有关,最爱,高,直接触发审核，可能限流或删除
25,绝对化/极限用语,与最有关,最大,高,直接触发审核，可能限流或删除
26,绝对化/极限用语,与最有关,最高档,高,直接触发审核，可能限流或删除
27,绝对化/极限用语,与最有关,最聚拢,高,直接触发审核，可能限流或删除
28,绝对化/极限用语,与最有关,最先,高,直接触发审核，可能限流或删除
29,绝对化/极限用语,与最有关,最赚,高,直接触发审核，可能限流或删除
30,绝对化/极限用语,与最有关,最奢侈,高,直接触发审核，可能限流或删除
31,绝对化/极限用语,与最有关,最流行,高,直接触发审核，可能限流或删除
32,绝对化/极限用语,与最有关,最符合,高,直接触发审核，可能限流或删除
33,绝对化/极限用语,与最有关,最先进,高,直接触发审核，可能限流或删除
34,绝对化/极限用语,与最有关,最低级,高,直接触发审核，可能限流或删除
35,绝对化/极限用语,与最有关,最低价,高,直接触发审核，可能限流或删除
36,绝对化/极限用语,与最有关,最底,高,直接触发审核，可能限流或删除
37,绝对化/极限用语,与最有关,最大程度,高,直接触发审核，可能限流或删除
38,绝对化/极限用语,与最有关,最新技术,高,直接触发审核，可能限流或删除
39,绝对化/极限用语,与最有关,最先进科学,高,直接触发审核，可能限流或删除
40,绝对化/极限用语,与最有关,最新科技,高,直接触发审核，可能限流或删除
41,绝对化/极限用语,与最有关,最先进加工工艺,高,直接触发审核，可能限流或删除
42,绝对化/极限用语,与最有关,最先享受,高,直接触发审核，可能限流或删除
43,绝对化/极限用语,与最有关,最后一波,高,直接触发审核，可能限流或删除
44,绝对化/极限用语,与最有关,最优秀,高,直接触发审核，可能限流或删除
45,绝对化/极限用语,与一/第一有关,第一,高,直接触发审核，可能限流或删除
46,绝对化/极限用语,与一/第一有关,中国第一,高,直接触发审核，可能限流或删除
47,绝对化/极限用语,与一/第一有关,全网第一,高,直接触发审核，可能限流或删除
48,绝对化/极限用语,与一/第一有关,销量第一,高,直接触发审核，可能限流或删除
49,绝对化/极限用语,与一/第一有关,排名第一,高,直接触发审核，可能限流或删除
50,绝对化/极限用语,与一/第一有关,唯一,高,直接触发审核，可能限流或删除
51,绝对化/极限用语,与一/第一有关,第一品牌,高,直接触发审核，可能限流或删除
52,绝对化/极限用语,与一/第一有关,NO.1,高,直接触发审核，可能限流或删除
53,绝对化/极限用语,与一/第一有关,TOP.1,高,直接触发审核，可能限流或删除
54,绝对化/极限用语,与一/第一有关,独一无二,高,直接触发审核，可能限流或删除
55,绝对化/极限用语,与一/第一有关,全国第一,高,直接触发审核，可能限流或删除
56,绝对化/极限用语,与一/第一有关,一流,高,直接触发审核，可能限流或删除
57,绝对化/极限用语,与一/第一有关,仅此一次,高,直接触发审核，可能限流或删除
58,绝对化/极限用语,与一/第一有关,仅此一款,高,直接触发审核，可能限流或删除
59,绝对化/极限用语,与一/第一有关,最后一波,高,直接触发审核，可能限流或删除
60,绝对化/极限用语,与一/第一有关,全国X大品牌之一,高,直接触发审核，可能限流或删除
61,绝对化/极限用语,与首/家/国有关,首个,高,直接触发审核，可能限流或删除
62,绝对化/极限用语,与首/家/国有关,首选,高,直接触发审核，可能限流或删除
63,绝对化/极限用语,与首/家/国有关,独家,高,直接触发审核，可能限流或删除
64,绝对化/极限用语,与首/家/国有关,独家配方,高,直接触发审核，可能限流或删除
65,绝对化/极限用语,与首/家/国有关,全网首发,高,直接触发审核，可能限流或删除
66,绝对化/极限用语,与首/家/国有关,全国首发,高,直接触发审核，可能限流或删除
67,绝对化/极限用语,与首/家/国有关,首次,高,直接触发审核，可能限流或删除
68,绝对化/极限用语,与首/家/国有关,首款,高,直接触发审核，可能限流或删除
69,绝对化/极限用语,与首/家/国有关,全国销量冠军,高,直接触发审核，可能限流或删除
70,绝对化/极限用语,与首/家/国有关,国家级产品,高,直接触发审核，可能限流或删除
71,绝对化/极限用语,与首/家/国有关,国家免检,高,直接触发审核，可能限流或删除
72,绝对化/极限用语,与首/家/国有关,填补国内空白,高,直接触发审核，可能限流或删除
73,绝对化/极限用语,与首/家/国有关,中国驰名,高,直接触发审核，可能限流或删除
74,绝对化/极限用语,与首/家/国有关,驰名商标,高,直接触发审核，可能限流或删除
75,绝对化/极限用语,与首/家/国有关,国际品质,高,直接触发审核，可能限流或删除
76,绝对化/极限用语,与首/家/国有关,首屈一指,高,直接触发审核，可能限流或删除
77,绝对化/极限用语,与首/家/国有关,全国首家,高,直接触发审核，可能限流或删除
78,绝对化/极限用语,与首/家/国有关,全球首发,高,直接触发审核，可能限流或删除
79,绝对化/极限用语,极限词/夸张词,顶级,高,直接触发审核，可能限流或删除
80,绝对化/极限用语,极限词/夸张词,顶尖,高,直接触发审核，可能限流或删除
81,绝对化/极限用语,极限词/夸张词,尖端,高,直接触发审核，可能限流或删除
82,绝对化/极限用语,极限词/夸张词,高级,高,直接触发审核，可能限流或删除
83,绝对化/极限用语,极限词/夸张词,绝佳,高,直接触发审核，可能限流或删除
84,绝对化/极限用语,极限词/夸张词,绝对,高,直接触发审核，可能限流或删除
85,绝对化/极限用语,极限词/夸张词,完美,高,直接触发审核，可能限流或删除
86,绝对化/极限用语,极限词/夸张词,至尊,高,直接触发审核，可能限流或删除
87,绝对化/极限用语,极限词/夸张词,至臻,高,直接触发审核，可能限流或删除
88,绝对化/极限用语,极限词/夸张词,臻品,高,直接触发审核，可能限流或删除
89,绝对化/极限用语,极限词/夸张词,压轴,高,直接触发审核，可能限流或删除
90,绝对化/极限用语,极限词/夸张词,问鼎,高,直接触发审核，可能限流或删除
91,绝对化/极限用语,极限词/夸张词,空前,高,直接触发审核，可能限流或删除
92,绝对化/极限用语,极限词/夸张词,绝后,高,直接触发审核，可能限流或删除
93,绝对化/极限用语,极限词/夸张词,绝版,高,直接触发审核，可能限流或删除
94,绝对化/极限用语,极限词/夸张词,无双,高,直接触发审核，可能限流或删除
95,绝对化/极限用语,极限词/夸张词,非此莫属,高,直接触发审核，可能限流或删除
96,绝对化/极限用语,极限词/夸张词,巅峰,高,直接触发审核，可能限流或删除
97,绝对化/极限用语,极限词/夸张词,前所未有,高,直接触发审核，可能限流或删除
98,绝对化/极限用语,极限词/夸张词,无人能及,高,直接触发审核，可能限流或删除
99,绝对化/极限用语,极限词/夸张词,鼎级,高,直接触发审核，可能限流或删除
100,绝对化/极限用语,极限词/夸张词,鼎冠,高,直接触发审核，可能限流或删除
101,绝对化/极限用语,极限词/夸张词,翘楚之作,高,直接触发审核，可能限流或删除
102,绝对化/极限用语,极限词/夸张词,不可再生,高,直接触发审核，可能限流或删除
103,绝对化/极限用语,极限词/夸张词,不可复制,高,直接触发审核，可能限流或删除
104,绝对化/极限用语,极限词/夸张词,绝无仅有,高,直接触发审核，可能限流或删除
105,绝对化/极限用语,极限词/夸张词,寸土寸金,高,直接触发审核，可能限流或删除
106,绝对化/极限用语,极限词/夸张词,无与伦比,高,直接触发审核，可能限流或删除
107,绝对化/极限用语,极限词/夸张词,卓越,高,直接触发审核，可能限流或删除
108,绝对化/极限用语,极限词/夸张词,卓著,高,直接触发审核，可能限流或删除
109,品牌相关违禁词,品牌宣传用语,大牌,高,涉嫌品牌夸大宣传
110,品牌相关违禁词,品牌宣传用语,金牌,高,涉嫌品牌夸大宣传
111,品牌相关违禁词,品牌宣传用语,名牌,高,涉嫌品牌夸大宣传
112,品牌相关违禁词,品牌宣传用语,王牌,高,涉嫌品牌夸大宣传
113,品牌相关违禁词,品牌宣传用语,领袖品牌,高,涉嫌品牌夸大宣传
114,品牌相关违禁词,品牌宣传用语,至尊,高,涉嫌品牌夸大宣传
115,品牌相关违禁词,品牌宣传用语,巅峰,高,涉嫌品牌夸大宣传
116,品牌相关违禁词,品牌宣传用语,奢侈,高,涉嫌品牌夸大宣传
117,品牌相关违禁词,品牌宣传用语,优秀,高,涉嫌品牌夸大宣传
118,品牌相关违禁词,品牌宣传用语,领导者,高,涉嫌品牌夸大宣传
119,品牌相关违禁词,品牌宣传用语,缔造者,高,涉嫌品牌夸大宣传
120,品牌相关违禁词,品牌宣传用语,创领品牌,高,涉嫌品牌夸大宣传
121,品牌相关违禁词,品牌宣传用语,领先上市,高,涉嫌品牌夸大宣传
