"笔记标题","笔记文案","点赞数"
"把时间留给需要好好努力的事！","Be too busy to fail. Focus intently on immediate tasks instead of overthinking the final goal.","269"
"沟通秘诀：别只有不快时才发声","CONSISTENCY","491"
"One Williamsburg Wharf 💙","今天，我们为 One Williamsburg Wharf 开启了价值数百万美元的销售中心，这真是太棒了。我从未见过像 Naftali Group 创造的销售体验，因为我们正式启动了这个项目的销售，该项目位于威廉斯堡一块可开发的海滨。从单间公寓到三居室，令人惊叹的顶层公寓，以及超过 20,000 平方英尺的便利设施，包括屋顶游泳池、停车场、溜冰场、篮球场、联合办公空间、游戏室、您见过的疯狂的健身房、可直接乘坐渡轮的海滨长廊","213"
"Check out Andy Cohen’s home!","Overlooking Jackson Square Park, 2 Horatio Street is one of the most coveted addresses in the West Village. Available furnished, with deeded storage. This landmarked building features a 24-hour doorman, live-in superintendent, laundry facilities, and pets, pied-à-terre, and co-purchasing permitted with board approval. Steps from world-class restaurants, shopping, and cultural destinations like the Whitney Museum and the High Line, this residence offers the best of New York City living. Don’t miss this rare offering in a historic Bing & Bing masterpiece.","203"
"感谢🙏🏻2024","我们齐聚 SERHANT。冬季仙境派对——一个美丽的夜晚，庆祝节日并回顾非凡的 2024 年。在来自全国各地的优秀代理商和员工的包围下，我们分享了故事、欢笑和时刻，彰显了我们社区的力量和我们共同取得的成就。 💙❄️☃️ 我们深深感谢每一位让 SERHANT 如此特别的人，我们对 2025 年将带来的所有难以置信的机遇感到非常兴奋。","52"
"Third at Bankside! 🌳","想知道 MOTT HAVEN 最好的社区景点吗？跟随 Ryan Serhant 独家游览这个充满活力的社区和卓越的开发项目 Third at Bankside。距离 MIDTOWN 仅 20 分钟路程！","166"
"VESTA LIC LAUNCH!!!","Introducing our Latest Project #VESTA[话题]#. For those seeking the most luxurious park-front lifestyle in Long Island City, #VESTA[话题]# is where elevated design meets effortless living. With stunning residences, thoughtful amenities, and a shimmering glass façade, #VESTA[话题]# is set to become the neighborhood’s premier address. Luxury Studio- 2 Bedroom Residences. Home is where you are and where you love. Find your home at VESTA.","127"
"当我雇用某人时，我要寻找什么？","What do I look for when I hire someone?","1783"
"Welcome to La Maison Collette!","La Maison Collette offers a limited collection of twenty-three Parisian-inspired residences in the heart of Greenwich Village. In a neighborhood where new development is a rarity, La Maison Collette presents a unique opportunity to own a thoughtfully designed home by Paris Forino – where timeless design and quiet luxury come together.","230"
"$65M in Palm Beach","How many hangers do you think can fit in closet number 2? Only in Palm Beach for $65M.","516"
