Property,Address,Area,Build Year,Price Range,Units,Developer,Marketing/Leasing Contact,Title,Email,Executive Contact,Executive Title,Executive Email,Outreach Stage,Has Address,Has Build Year,Has Price Range,Has Contact Email
1 North 4th,"1 North 4th Place, Brooklyn, NY 11249",,2014,"$4,300-$8,700",510,Douglaston Development,Graham Christensen,"VP, Market Rate Development",gchristensen@douglastondevelopment.com,Liz Oakley; Steven Charno,Chief Development Officer; President,scharno@douglastondevelopment.com,,Yes,Yes,Yes,Yes
1 QPS,"42-20 24th Street, Long Island City, NY 11101",LIC,2017,"$3,763-$7,534",391,PMG,Anita D.; Kevin Maloney,Portfolio Leasing Director; CEO,anita@propertymg.com; kmaloney@propertymg.com,Amy Schulman; Brett Solomon; Ofer Yardeni; Ryan Shear; Steve Brecker; Stonehenge Management Office; Veronica Gorson,"Managing Director, Development Sales & Marketing",aschulman@stonehengenyc.com; bsolomon@stonehengenyc.com; ofer@stonehengeinvestment.com; rshear@propertymg.com; sbrecker@elliman.com,,Yes,Yes,Yes,Yes
100 Jane Street,"100 Jane Street, New York, NY 10014",,1996,"$4,300-$9,600",148,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
110 Horatio Street,"110 Horatio Street, New York, NY 10014",,1987,"$5,200-$5,300",154,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
116 John Street,"116 John Street, New York, NY 10038",,2012,"$3,390-$6,375",416,Silverstein Properties,Dara McQuillan,Chief Marketing & Communications Officer,dmcquillan@silvprop.com,,,,,Yes,Yes,Yes,Yes
12 East 22nd Street,"12 East 22nd Street, New York, NY 10010",,1911,"$4,000-$8,000",86,Abington Properties,Sal Costa,Director of Leasing,sal@abingtonholding.net,,,,,Yes,Yes,Yes,Yes
1214 5th Avenue,"1214 5th Avenue, New York, NY 10029",,2012,"$4,200-$8,600",229,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
1440 Amsterdam Ave,"1440 Amsterdam Ave, New York, NY 10027",,,"$3,220-$6,595",490,,,,,,,,Pitched,Yes,No,Yes,No
1515 Surf,"1515 Surf Avenue, Brooklyn, NY 11224",Coney Island,2024,"$3,125-$5,195",463,LCOR,Loretta Romero,VP of Marketing,lromero@lcor.com,Lo Romero,"Vice President, Marketing",,,Yes,Yes,Yes,Yes
18 Cornelia Street,"18 Cornelia St, New York, NY 10014",,1900,"$2,200-$4,500",36,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
19 Dutch,"19 Dutch Street, New York, NY 10038",,2019,"$3,800-$10,000",483,Carmel Partners,LinkedIn; Melanie Flaherty,"SVP, Marketing",nancy@nancypackesinc.com; mflaherty@carmelpartners.com,Andrew Barrocas; Brian S. Pun; FSA Capital HQ; Iliana Acevedo; Jen Bucktrout; Liz Tennican; Lumen Leasing Office; MNS Real Estate HQ; Stephanie Andrews,"VP, Marketing",asb@mns.com; brian@fsacapital.com; iliana@mns.com; jbucktrout@carmelpartners.com; ltennican@carmelpartners.com; stephanie@mns.com,,Yes,Yes,Yes,Yes
1975 Madison,"1975 Madison Avenue, New York, NY 10035",Central Harlem,2025,"$3,895-$7,000",97,"Harlem Multi One, LLC; The Davis Companies",Andi Simpson; Leasing Team,"EVP - Creative, Brand & Communications; Leasing",asimpson@thedaviscompanies.com; 1975madison@mns.com,,,,,Yes,Yes,Yes,Yes
2 Gold Street,"2 Gold Street, New York, NY 10038",,2003,"$4,665-$8,335",650,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
2-20 Malt Drive,2-20 Malt Drive,LIC,2024,"$3,610-$7,905",575,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
20 Broad St,"20 Broad Street, New York, NY 10005",,2018,"$3,700-$8,000",533,Metro Loft Developers,Mitchell Wasser,"Senior MD - Marketing, Brand Strategy & BD",info@metroloft.com,,,,,Yes,Yes,Yes,Yes
20 Exchange Place,"20 Exchange Place, New York, NY 10005",,1931,"$3,600-$7,700",762,Dermot Company,Arianna Mahone,Leasing and Marketing Director,arianna.mahone@dermotcompany.com,Stephen N. Benjamin,CEO,inquiry@dermotcompany.com,,Yes,Yes,Yes,Yes
20&30 Halletts Point,"20 Halletts Point & 30 Halletts Point, Astoria, NY 11102",,2025,"$3,600-$7,850",647,The Durst Organization,,,,Corporate Phone; Dan Mogolesko; Emmanuelle Slossberg; Joy Habian; Sven Leasing Office; Sven Leasing Team,"EVP, Director of Leasing",dmogolesko@durst.org; eslossberg@durst.org; jhabian@durst.org; svenleasing@durst.org,,Yes,Yes,Yes,Yes
200W60,"200 W 60th St, New York, NY 10023",,1991,"$3,500-$13,000",248,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
230 East 30th Street,"230 East 30th Street, New York, NY 10016",,1985,"$3,450-$6,095",126,Abington Properties,Sal Costa,Director of Leasing,sal@abingtonholding.net,,,,,Yes,Yes,Yes,Yes
235 Grand,"235 Grand St, Jersey City, NJ 07302",,2019,"$2,790-$5,165",549,Ironstate / KRE,,,,,,,,Yes,Yes,Yes,No
