property_name,address,developer_company
Sky,"605 W 42nd St, New York NY",Moinian Group
Silver Towers,"600-620 W 42nd St, New York NY",Silverstein Properties
MiMA,"450 W 42nd St, New York NY",Related Companies
The Max,"606 W 57th St, New York NY",TF Cornerstone
Mercedes House,"550 W 54th St, New York NY",Two Trees Management
The Eugene,"435 W 31st St, New York NY",Brookfield Properties
8 Spruce St (NY by Gehry),"8 Spruce St, New York NY",Brookfield / Nuveen
Waterline Square,"375 W 59th St, New York NY",GID Development Group
American Copper Buildings,"626 First Ave, New York NY",JDS Development / Largo
555TEN,"555 Tenth Ave, New York NY",Extell Development
VIA 57 West,"625 W 57th St, New York NY",Durst Organization
ARO,"242 W 53rd St, New York NY",Algin Management
Gotham West,"550 W 45th St, New York NY",Gotham Organization
The Encore,"175 W 60th St, New York NY",Glenwood Management
Summit,"222 E 44th St, New York NY",BLDG Management
70 Pine Street,"70 Pine St, New York NY",Rose Associates
One Sixty Madison,"160 Madison Ave, New York NY",J.D. Carlisle Development
One Manhattan Square,"252 South St, New York NY",Extell Development
Emerald Green,"320 W 38th St, New York NY",Glenwood Management
Crystal Green,"330 W 39th St, New York NY",Glenwood Management
Liberty Plaza,"10 Liberty St, New York NY",Glenwood Management
The Sage,"400 W 61st St, New York NY",Glenwood Management
Hawthorn Park,"225 W 60th St, New York NY",Glenwood Management
Tribeca Bridge Tower,"450 North End Ave, New York NY",Glenwood Management
Paramount Tower,"240 E 39th St, New York NY",Glenwood Management
The Somerset,"350 W 42nd St, New York NY",Glenwood Management
The Fairmont,"235 E 40th St, New York NY",Glenwood Management
The Brittany,"1515 Broadway, New York NY",Glenwood Management
Hampton Court,"315 W 57th St, New York NY",Glenwood Management
Helena 57 West,"601 W 57th St, New York NY",Durst Organization
Frank 57 West,"600 W 58th St, New York NY",Durst Organization
The Beatrice,"105 W 29th St, New York NY",Equity Residential
777 Sixth Avenue,"777 6th Ave, New York NY",Equity Residential
Longacre House,"305 W 50th St, New York NY",Equity Residential
71 Broadway,"71 Broadway, New York NY",Equity Residential
170 Amsterdam,"170 Amsterdam Ave, New York NY",Equity Residential
21 West End Avenue,"21 West End Ave, New York NY",Dermot Company
101 West End Avenue,"101 West End Ave, New York NY",Dermot Company
The Helux,"520 W 43rd St, New York NY",Dermot Company
535W43,"535 W 43rd St, New York NY",Dermot Company
The Colorado,"201 E 86th St, New York NY",Dermot Company
The Archive,"666 Greenwich St, New York NY",Rockrose Development
Tribeca Pointe,"41 River Terrace, New York NY",Rockrose Development
200 Water Street,"200 Water St, New York NY",Rockrose Development
The Larstrand,"227 W 77th St, New York NY",Rose Associates / Friedland Properties
