"笔记标题","笔记文案","点赞数"
"到底怎么样才能买到Goyard护照夹😇","Update：买到灰色了 非常开心！ ———————————————————————————— 坐标NY 从年初到现在去了纽约 巴黎 香港 成都 北京和首尔的Goyard店 护照夹都没有货 今天去好不容易有了但是没有喜欢的颜色 实在是太愁了[捂脸R] 在NY店买到过灰色或白色的uu们可以传授一下经验吗 哪一天去会比较好卖什么的[扯脸H] 以及 可以劝退一下想买白色的我吗 我太喜欢了但是又觉得会很容易脏 正在做心理建设尝试去接受黑色[扯脸H] #goyard[话题]# #戈雅[话题]# #护照夹[话题]# #goyard护照夹[话题]# #纽约[话题]#","55"
"纽约留学生网最年轻Manager团队招聘","升级成manager第一个月就top啦 差一点点成第一[doge][doge]有遗憾才有动力 大淡季我们团队一个月达成了10w美金业绩🎉 - 公司sponsor cpt, opt, h1b，manager以上绿卡 需要based nyc or jersey city - 加入公司也快四年啦，一步一步从小卡拉米成长成为目前公司最年轻manager，加入四年，归来不过也才25岁[doge]我们团队几乎都是00后，98后，团队年轻化[害羞R] 本人是公司2022年和2023年年度t1，可能有人也看到其他t1，因为有不同的排名规则，以前我热衷于给客户额外优惠，所以优惠前的总gross数额我是第一，我们的招聘理念就是销冠大概率是销冠带出来的，我们有独特独家方法传授+稳定庞大的客源。 我也经历过不少低谷时刻，2023年我刚开始尝试脱离自己单打独斗自己做单的模式，开始带团队，第一年就取得了巨大成功，当时超过第二名近6位数业绩，于是我飘了，并回国直接躺了四个月。等我2023年底回来的时候，天塌了，我的团队全部解散了，而且我自己也差点陷入离职风波，好在我挺了过来，带着今年全新招聘的团队，在这一年的时间重头再来，目前我们新团队的今年业绩已累计近90万美金，并且培养出了四位senior agent。 我将把我所有客源无私奉献给我的组员，很多中介说我的组员是我喂出来的，这是没错，我的一位今年3月加入我团队的新人，八个月时间已赚到8w美金，这对于新人来说是非常夸张的数据，他的提成比例也已迎来double，自从升级manager以来，10月11月连续的top1 senior agent都来自于我的团队。另一个哥大学长7月加入我的团队，三个月时间光速升级senior，累计业绩已经15万美金，上个月单月赚了2w+美金。 我将一贯坚持奉献原则，我自始至终都是一个很大方的人，从2023年和我签lyra, waterline, 555Ten的客户（目前我们lyra大楼已累计签60+套）到我自己的组员，我都坚持给到最好，而且我的好朋友就是我的组员们，我经常请组员吃饭，一起打牌娱乐，一起旅游，节假日小礼物等等☝️ - 纽留最年轻Manager团队Applejojo组招聘 背靠纽约第一华人租赁团队 内部培训+内部推单 Cover学费不是梦 团队多为00后年轻化 快来加入我们的团队8️⃣","53"
"🇺🇸北美留子的深圳生活记录","最近深圳的天气实在是太舒服了 一件短袖加上一件薄棉服就够 和三两朋友吃一顿牛肉火锅 点的🥤奶茶外卖直接送到店里（阿嬷手作真的yyds！ 想逛街所有大牌齐全 傍晚在人才公园逛一逛 蓝调时刻和众多法师们一起拍照 打车到万象天地吃个饭 然后等女朋友下班去看了脱口秀 晚上再去吃个粥火锅🍲 最重要的是 不用上班！这生活也太舒服了吧 #深圳[话题]# #单立人[话题]# #北美留子[话题]# #哈苏[话题]# #x2d[话题]# #dji[话题]#","24"
"纽约曼哈顿｜情人节event低配喜提mini kelly","直接打开天窗说亮话，配比不高 一共1:2.3（不含皮具） 如果含皮具也算配货（mini lindy、hac a dos）那就是1:3.8等待时间大概1年多一点 去年在纽约爱马仕没拿过quota，只拿过0配的mini lindy和hac a dos男包甜品包，所以这次给了金刚色我很惊讶，因为我彩色也完全ok，只要不是红色粉色我都ok - 为什么这次这么顺利且低配呢 因为我自己主动说了我在上海开了账户，而且拿了quota 当时其实我的sales已经很不爽了，就说让我去其他店买吧[笑哭R]我又解释说我去上海只是旅游，纽约才是我生活的地方，而且上海给的offer太好了就买了 - 美国和国内爱马仕购买记录不互通，sales也查不到，但是我不确定店铺manager能不能查到 之前小红书甚传mini kelly2国内得累计消费100w才可以（之前）我算了算，我两个帐户加起来肯定够了 纽约店铺今天买完大概就是14w，上海店铺累计5w🔪 - 我本来还打算纽约的累积拿完包之后全部转战上海店，但是现在看来不必了，一是交通成本，二是国内税后价格比纽约税后价格其实贵。 之前上海店铺sales允诺我可以1:3给mini kelly（而且可以拿一个男包当配货），但是不是金刚色，现在一看纽约店只要累积起来还是香 - 不在美国总店Madison，我觉得那里太卷太难 mini kelly现在工价应该是10000，税后10887.5 感觉爱马仕男客户更好拿包，感觉每个sales都有男款category指标，所以不想放掉男客户，如果陷入瓶颈不妨带你男友去配吧[暗中观察R] - 最后我们纽约房产团队依旧在招聘，我们团队年轻化，大部分都是00后，欢迎加入我们，详情请看首页置顶🔝🫰🫰🫰 #爱马仕[话题]# #minikelly2[话题]#","234"
"美东药企入职+提车一周～","做不完的Training + meeting 但好在一周的paycheck快赶上之前读博一个月的了[笑哭R] 终于成为NJ居民 the best state in the US（我心目中 以后的日子会越来越好的！ 防杠声明：我觉得哪里好就住在哪 不懂这有啥可争的…不喜欢NJ住在别的州就好了 #药企[话题]# #打工人[话题]# #新泽西[话题]#","521"
"收纳｜IKEA洞洞板打造Digital Corner","搬家之后顺便收拾了一下家里的电子产品 洞洞板和挂钩基本都是在IKEA买的 之前家里乱成好几团的数据线终于有了去处 另外还从Etsy上买了一些3D打印的Shelves用来放相机 书桌也是在IKEA买的 发现摆放唱片机音响和一些相框非常合适！尽可能的做了一些理线 不知道能保持多久[捂脸R] #ikea[话题]# #哈苏[话题]# #索尼[话题]# #莱卡[话题]# #丽思卡尔顿[话题]# #收纳[话题]#","44"
"LOEWE终于来新泽西啦","7.19 更新：已经开业了！今天是第一天！货超级全！包鞋男女成衣都有！ ———————————— 来The Mall at Short Hills逛街发现有很多新品牌要进驻 看到Loewe简直是意外之喜 这些年来买了不少成衣 之前都是去纽约试然后网购省税[扯脸H] 这下又多了一个去Short Hills的理由啦 #loewe[话题]# #罗意威[话题]# #新泽西[话题]# #shorthills[话题]#","45"
"☀️🏖️🌴🥥Weekend in L.A.","趁着去西来寺还愿的机会闪现了一下LA 离开纽约的时候正赶上降温 落地LA一秒入夏 南加的天气真的太好了 住在San Gabriel好吃的也不要太多 东岸打工人又有力气上班了🧑‍💻 📷：Leica Q3 #洛杉矶[话题]# #加州[话题]#","16"
"⭐️Tsukimi｜被先付惊艳的纽约怀石","被女朋友投喂的又一顿漂亮饭 日料吃来吃去还是对Kaiseki情有独钟[派对R] 菜单包含9个course 我们又点了一瓶柚子酒 含税+小费一共700多🔪 最喜欢的： - 先付包含三个small bites：扇贝 龙虾 海胆海苔卷 每个都好好吃 我果然就是喜欢tree tree的东西 - 海胆鱼子酱蒸蛋+土豆粒 我的最爱 - 燉物：炙烧金目鲷 搭配蕨菜、西兰花叶与木之芽的香气真的绝绝子 - 烤真鲹鱼搭配珍宝蟹肉和春菊汤汁味道丰富我很喜欢 不过女朋友的鱼肉烤出来比我的焦了不少[捂脸R] 不知道是不是火候问题 📷：Leica Q3 #纽约[话题]# #怀石料理[话题]# #日料[话题]# #finedine[话题]# #omakase[话题]#","15"
"纽约🌄｜在洛克菲勒中心遇见日落","美东这几天等到一个好天气真不容易 📷：#leica[话题]# Q3 #纽约[话题]# #曼哈顿[话题]#","8"
