developer,property,contact_name,contact_email
LCOR,1515 Surf,,
The Brodsky Organization,499 President,Alexander Brodsky,abrodsky@brodskyorg.com
Alloy,505 State Street,,
The Jay Group,99 Fleet Place,,
Douglaston Development,AtlanticBK,,
Rabsky Group,Bridgeview Dumbo,,
Brooklyn Red Sauce LLC,DWTN,,
Naftali Group,Four Williamsburg Wharf,,
Madison Realty Capital,Greenpoint Central - 65 Dupont Street,,
Madison Realty Capital,Greenpoint Central - 75 Dupont Street,,
Lonicera Partners,House 55,,
TG Developers,Lawrence Tower,,
Quinlan Development Group,Longview Brooklyn,,
Jankos Group,Modavie Residences,,
Two Trees Management,One Domino Square - Rentals,Two Trees LinkedIn,msolarmarch@twotreesny.com
Ailanthus; BEB Capital; SK Development,One Sunset,,
EMP Atlantic LP,Prosper Brooklyn,,
PMG,Society Brooklyn at Degraw,Kevin Maloney,kmaloney@propertymg.com
Watermark Capital,The Baltic Canal,,
Witkoff Group; Apollo Global Management,The Brook,,
Rockefeller Group; Park Tower Group,The Dupont,,
Watermark Capital,The Elliot,,
Rockrose Development,The Everly,Justin Elghanayan,justin.elghanayan@rockrose.com
Rabsky Group,The Rocklyn,,
SPG Boerum LLC,The Welz,,
Naftali Group,Three Williamsburg Wharf,,
Naftali Group,Two Williamsburg Wharf,,
Timber Equities,The Danby,,
The Jay Group,Inwood Living,,
L&M Development Partners,Miramar at 405 West 206th Street,,
L&M Development Partners,Miramar at 407 West 206th Street,,
Timber Equities,The Sophia,,
MADDD Equities,Tryon North,,
Timber Equities,The Franklin,,
"Harlem Multi One, LLC",1975 Madison,,
Empire Development Fund 2 LLC,300 West 136th Street,,
PMG,1 QPS,Kevin Maloney,kmaloney@propertymg.com
TF Cornerstone,2-20 Malt Drive,Frederick Elghanayan,felghanayan@tfc.com
TF Cornerstone,4545 Center Blvd,Frederick Elghanayan,felghanayan@tfc.com
G&M Realty,5 Pointz LIC,David Wolkoff,dwolkoff@hrtld.com
Lior Dorel,Alora,,
Cape Advisors,Astoria West,David Kronman,dkronman@capeadvisors.com
"COA 99 HUDSON, LLC",East Light + 99 Hudson,,
UNLMTD Real Estate,Fiat House,,
Tishman Speyer,Jackson Park 1/2/3,https,erose@tishmanspeyer.com
Rockrose Development,Linc LIC,Justin Elghanayan,justin.elghanayan@rockrose.com
Grubb Properties,Link Apartments® QPN,Emily Ethridge,eethridge@grubbproperties.com
Carmel Partners,Lumen LIC,LinkedIn,nancy@nancypackesinc.com
The Durst Organization,Sven,Dan Mogolesko,dmogolesko@durst.org
ZD Jasper Realty,Terra,General Inquiry,info@zdjasper.com
Brause Realty & Gotham,The Forge,David L. Picket,dpicket@gothamorg.com
Kushner Real Estate Group,The Journal,,
LMXD,The Pearson Court Square,GreyStar LinkedIn,bob@greystar.com
Heatherwood Communities,Tower 28,Douglas Partrick,dpartrick@heatherwood.com
Namdar,43 Cottage,,
Panepinto,505 SUMMIT,,
Panepinto,ART WALK,,
Panepinto,One Journal,,
8 WEST,SOLA WOODSIDE,,
OMG Agency,Braddock Park West,,
Kushner,The One,,
OMG Agency,Mercedes House,,
OMG Agency,Sable NJ,,
Panepinto,Plaza 8,,
8 WEST,NEW HEAVEN,,
UNLIMITED,Fiat House,,
