序号,分类,子分类,违禁词/用语,风险等级,说明/备注
1,诱导互动,求互动,求关注,中,诱导用户互动行为
2,诱导互动,求互动,求赞,中,诱导用户互动行为
3,诱导互动,求互动,求收藏,中,诱导用户互动行为
4,诱导互动,求互动,互粉,中,诱导互粉
5,诱导互动,求互动,互赞,中,诱导互赞
6,诱导互动,求互动,互关,中,诱导互关
7,诱导互动,求互动,点赞抽奖,高,诱导互动抽奖
8,诱导互动,求互动,评论抽奖,高,诱导互动抽奖
9,诱导互动,求互动,关注抽奖,高,诱导互动抽奖
10,诱导互动,求互动,收藏抽奖,高,诱导互动抽奖
11,诱导互动,求互动,转发抽奖,高,诱导互动抽奖
12,诱导互动,求互动,分享抽奖,高,诱导互动抽奖
13,诱导互动,求互动,抽奖送,中,诱导互动抽奖
14,诱导互动,求互动,评论区抽,中,诱导评论抽奖
15,诱导互动,求互动,留言抽,中,诱导评论抽奖
16,诱导互动,引流,加V,高,引导站外
17,诱导互动,引流,加好友,高,引导站外联系
18,诱导互动,引流,私聊,中,引导私信交易
19,诱导互动,引流,私信下单,高,引导站外交易
20,诱导互动,引流,私信咨询,中,引导私信
21,诱导互动,引流,加群,高,引导站外
22,诱导互动,引流,进群,高,引导站外
23,诱导互动,引流,扫码,高,引导站外
24,诱导互动,引流,手机号,高,暴露个人联系方式
25,诱导互动,引流,电话号码,高,暴露个人联系方式
26,诱导互动,引流,外链,高,引导站外
27,诱导互动,引流,小程序,高,引导站外
28,站外平台,竞品平台,拼多多,高,提及竞品平台
29,站外平台,竞品平台,闲鱼,高,提及竞品平台
30,站外平台,竞品平台,快手,高,提及竞品平台
31,站外平台,竞品平台,微店,高,提及竞品平台
32,站外平台,竞品平台,1688,高,提及竞品平台
33,站外平台,竞品平台,拼夕夕,高,拼多多代称
34,站外平台,竞品平台,某宝,高,淘宝代称
35,站外平台,竞品平台,某东,高,京东代称
36,站外平台,竞品平台,某多多,高,拼多多代称
37,站外平台,竞品平台,某鱼,高,闲鱼代称
38,站外平台,竞品平台,dy,高,抖音代称
39,站外平台,竞品平台,tb,高,淘宝代称
40,站外平台,竞品平台,pdd,高,拼多多代称
41,站外平台,竞品平台,jd,高,京东代称
42,站外平台,竞品平台,wx,高,微信代称
43,时限用语,限时,随时结束,中,制造紧迫感
44,时限用语,限时,随时涨价,中,制造紧迫感
45,时限用语,限时,马上降价,中,制造紧迫感
46,时限用语,限时,限时抢购,中,制造紧迫感
47,时限用语,限时,限时特价,中,制造紧迫感
48,时限用语,限时,限量赠送,中,制造紧迫感
49,时限用语,限时,今天最后一天,中,制造紧迫感
50,时限用语,限时,名额有限,中,制造紧迫感
51,时限用语,限时,售完即止,中,制造紧迫感
52,时限用语,限时,数量有限,中,制造紧迫感
53,时限用语,限时,限时优惠,中,制造紧迫感
54,时限用语,限时,倒计时,中,制造紧迫感
55,时限用语,限时,最后机会,高,极限+紧迫
56,化妆品虚假宣传,美白祛斑,美白,高,化妆品禁用功效词
57,化妆品虚假宣传,美白祛斑,嫩白,高,化妆品禁用功效词
58,化妆品虚假宣传,美白祛斑,淡斑,高,化妆品禁用功效词
59,化妆品虚假宣传,美白祛斑,祛斑,高,化妆品禁用功效词
60,化妆品虚假宣传,美白祛斑,增白,高,化妆品禁用功效词
61,化妆品虚假宣传,美白祛斑,净白,高,化妆品禁用功效词
62,化妆品虚假宣传,美白祛斑,亮白,高,化妆品禁用功效词
63,化妆品虚假宣传,美白祛斑,透白,高,化妆品禁用功效词
64,化妆品虚假宣传,美白祛斑,润白,高,化妆品禁用功效词
65,化妆品虚假宣传,美白祛斑,白皙,高,化妆品禁用功效词
66,化妆品虚假宣传,美白祛斑,白嫩,高,化妆品禁用功效词
67,化妆品虚假宣传,美白祛斑,净斑,高,化妆品禁用功效词
68,化妆品虚假宣传,美白祛斑,祛痕,高,化妆品禁用功效词
69,化妆品虚假宣传,美白祛斑,雪肌,高,化妆品禁用功效词
70,化妆品虚假宣传,美白祛斑,雪肤,高,化妆品禁用功效词
71,化妆品虚假宣传,美白祛斑,去黑,高,化妆品禁用功效词
72,化妆品虚假宣传,美白祛斑,淡印,高,化妆品禁用功效词
73,化妆品虚假宣传,美白祛斑,祛印,高,化妆品禁用功效词
74,化妆品虚假宣传,美白祛斑,除印,高,化妆品禁用功效词
75,化妆品虚假宣传,美白祛斑,净印,高,化妆品禁用功效词
76,化妆品虚假宣传,美白祛斑,消除瘢痕,高,化妆品禁用功效词
77,化妆品虚假宣传,美白祛斑,肤色淡化,高,化妆品禁用功效词
78,化妆品虚假宣传,塑形瘦身,塑形,高,化妆品禁用功效词
79,化妆品虚假宣传,塑形瘦身,塑身,高,化妆品禁用功效词
80,化妆品虚假宣传,塑形瘦身,塑脸,高,化妆品禁用功效词
81,化妆品虚假宣传,塑形瘦身,纤体,高,化妆品禁用功效词
82,化妆品虚假宣传,塑形瘦身,纤腿,高,化妆品禁用功效词
83,化妆品虚假宣传,塑形瘦身,苗条,中,化妆品禁用功效词
84,化妆品虚假宣传,塑形瘦身,美体,高,化妆品禁用功效词
85,化妆品虚假宣传,塑形瘦身,收腰,高,化妆品禁用功效词
86,化妆品虚假宣传,塑形瘦身,清脂,高,化妆品禁用功效词
87,化妆品虚假宣传,塑形瘦身,燃脂,高,化妆品禁用功效词
88,化妆品虚假宣传,塑形瘦身,净脂,高,化妆品禁用功效词
89,化妆品虚假宣传,塑形瘦身,身体紧致,高,化妆品禁用功效词
90,化妆品虚假宣传,塑形瘦身,修身,中,化妆品禁用功效词
91,化妆品虚假宣传,丰胸美乳,丰韵,高,化妆品禁用功效词
92,化妆品虚假宣传,丰胸美乳,坚挺,高,化妆品禁用功效词
